Original_Title,Author,ISBN13,Publisher,Published_Date
"Cry of the Wolf (Avalon Web of Magic, 3)",Rachel Roberts,9781593150051, CDS Books,2003
Leading from the Center: Why Moderates Make the Best Presidents,Gil Troy,9780465002931, Basic Books,2008
Crusade,Robyn Young,9780525950165, Dutton Adult,2007
The Summer of Cotton Candy (Sweet Seasons Series #1),Debbie Viguié,9780310715580, Zondervan,2008
A Hard Death,Jonathan Hayes,9780099538646, Arrow,2009
Little Earthquakes,Jennifer Weiner,9781416528630, Pocket Star Books,2006
His Princess: Love Letters from Your King (His Princess),Sheri Rose Shepherd,9781590523315, Multnomah,2004
Jesus Land : A Memoir,Julia Scheeres,9781582433547, Counterpoint,2006
The Private Patient,P.D. James,9780571242443, Faber,2008
The Penguin History of New Zealand,Michael King,9780143018674, Penguin Books,2003
Searching for Shakespeare,Tarnya Cooper,9780300116113, Yale University Press,2006
The True Story of Hansel and Gretel,Louise Murphy,9780142003077, Penguin Books,2003
Unbowed,Wangari Maathai,9780307263483, Knopf,2006
"The Haitian Trilogy: Plays: Henri Christophe, Drums and Colours, and The Haytian Earth",Derek Walcott,9780374528133," Farrar, Straus and Giroux",2002
Devotion,Howard Norman,9780618735419, Houghton Mifflin Harcourt,2007
A Disorder Peculiar to the Country,Ken Kalfus,9780060501419, Harper Perennial,2006
The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,9780785289081, Thomas Nelson,2007
Standard Operating Procedure,Philip Gourevitch,9781594201325, Penguin Press,2008
Sabotaged,Margaret Peterson Haddix,9781416954248, Simon & Schuster Books for Young Readers,2010
Oz: The Wonderful Wizard of Oz,Eric Shanower,9780785129219, Marvel,2009
Lawless World: The Whistle-Blowing Account of How Bush and Blair Are Taking the Law into TheirOwn Hands,Philippe Sands,9780141017990, Penguin UK,2006
"The Wilderness Warrior: Theodore Roosevelt and the Crusade for America, 1858-1919",Douglas Brinkley,9780060565282, Harper,2009
The Big Rewind: A Memoir Brought to You by Pop Culture,Nathan Rabin,9781416556206, Scribner Book Company,2009
The Redheaded Princess,Ann Rinaldi,9780060733742, HarperCollins,2008
Diamond Willow,Helen Frost,9780374317768," Farrar, Straus and Giroux (BYR)",2008
Shakespeares Ideas (Blackwell Great Minds),David Bevington,9781405167963, Wiley-Blackwell,2008
Transition,Iain M. Banks,9780316071987, Orbit,2009
A Lion's Tale: Around the World in Spandex,Chris Jericho,9780446580069, Grand Central Publishing,2007
Cobra II: The Inside Story of the Invasion and Occupation of Iraq,Michael R. Gordon,9780375422621, Pantheon,2006
Golden Son,Pierce Brown,9780345539823, Del Rey,2015
Hotel World,Ali Smith,9780140296792, Penguin Books Ltd,2002
An Officer and a Spy,Robert   Harris,9780091944551, Hutchinson,2013
"Infernal Devices (Mortal Engines Quartet, #3)",Philip Reeve,9780439963930, Point,2006
Magic Seeds,V.S. Naipaul,9780375707278, Vintage Books USA,2005
Bridesmaids,Jane Costello,9781847390875, Simon & Schuster UK,2008
La Carte et le Territoire,Michel Houellebecq,9780434021406, William Heinemann,2011
Dreaming the Bull,Manda Scott,9780770429270, Seal Books,2005
Target,Kathleen Jeffrie Johnson,9780761327905, Roaring Brook Press,2003
"The Fabric of the Cosmos: Space, Time and the Texture of Reality",Brian Greene,9780965900584, Alfred Knopf,2004
Frog Music,Emma Donoghue,9780316324687," Little, Brown and Company",2014
Home Front,Kristin Hannah,9780312577209, St. Martin's Press,2012
Exit Ghost,Philip Roth,9780618915477, Houghton Mifflin Harcourt,2007
The Secret History of Science Fiction,James Patrick Kelly,9781892391933, Tachyon Publications,2009
Love Minus Eighty,Will McIntosh,9780316217781, Orbit,2013
Predikanten,Camilla Läckberg,9781605981734, Pegasus Crime,2011
The Edge of Physics: A Journey to Earth's Extremes to Unlock the Secrets of the Universe,Anil Ananthaswamy,9780618884681, Houghton Mifflin Harcourt,2010
"The Astonishing Life of Octavian Nothing, Traitor to the Nation, Vol. I: The Pox Party",M.T. Anderson,9780763624026, Candlewick Press,2006
Panserhjerte,Jo Nesbø,9780307595874, Knopf,2011
The Rose Petal Beach,Dorothy Koomson,9781780874999, Quercus,2013
Station Eleven,Emily St. John Mandel,9781443434867, HarperCollins Canada,2014
The Snow Queen,Michael Cunningham,9780374266325," Farrar, Straus and Giroux",2014
Communion: The Female Search for Love,bell hooks,9780060938291, William Morrow Paperbacks,2002
Kitty and the Midnight Hour,Carrie Vaughn,9780446616416, Grand Central Publishing,2005
The Devil's Banker,Christopher Reich,9780440241423, Dell,2004
The Soul Stealer,Alex Archer,9780373621309, Gold Eagle,2008
Hidden Prey,John Sandford,9780425199602, G.P. Putnam's Sons,2005
My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,9781582346182, Bloomsbury USA,2005
State of the Union,Douglas Kennedy,9780099468295, Arrow,2006
Song of the Unicorns (Avalon; Quest for Magic #1),Rachel Roberts,9781593150020, CDS Books,2003
The Double Bind,Chris Bohjalian,9781400047468, Crown,2007
Daughter of Venice,Donna Jo Napoli,9780440229285, Laurel Leaf,2003
The Postcard Killers,James Patterson,9788281432475," Little, Brown And Company",2010
The Swords of Night and Day,David Gemmell,9780552146784, Corgi,2005
Shug,Jenny Han,9781416909422, Simon & Schuster Books for Young Readers,2006
Batman: Dark Victory,Jeph Loeb,9781563898686, DC Comics,2002
Sorcha de Mallaig,Diane Lacombe,9782744177033, VLB éditeur,2004
Fearless,Tim Lott,9781406308587, Walker & Company,2007
My Friend Leonard,James J. Frey,9781594481956, Riverhead Books,2006
A Year in the Life of William Shakespeare: 1599,James Shapiro,9780060088743, Harper Perennial,2006
The Black Dagger Brotherhood: An Insider's Guide,J.R. Ward,9780451225009, NAL,2008
The Margarets,Sheri S. Tepper,9780061170652, Harper Voyager,2007
Conspiracy of Fools: A True Story,Kurt Eichenwald,9780767911795, Broadway Books,2005
Hannah's Dream,Diane Hammond,9780061568251, Harper,2008
"Culture, Technology, and the Creation of America's National Parks (Cambridge Studies in American Literature and Culture)",Richard Grusin,9780521081689, Cambridge University Press,2008
Toll the Hounds,Steven Erikson,9780765310088, Tor Books,2008
From A to X: Some Letters Recuperated by John Berger,John Berger,9781844672882, Verso,2008
The Bone Season,Samantha Shannon,9781620401392, Bloomsbury USA,2013
Escape,Carolyn Jessop,9780767927567, Broadway,2007
"Patience, Princess Catherine (Young Royals, #4)",Carolyn Meyer,9780152054472, HMH Books for Young Readers,2009
The Faraway Nearby,Rebecca Solnit,9780670025961, Viking,2013
The Other Wind,Ursula K. Le Guin,9780441011254, Ace Books,2003
"The Command of the Ocean: A Naval History of Britain, 1649-1815",N.A.M. Rodger,9780393328479, W. W. Norton & Company,2006
The Anthologist,Nicholson Baker,9781416572442, Simon & Schuster,2009
The Complaints,Ian Rankin,9780752889511, Orion Books,2009
The Last Days of Judas Iscariot: A Play,Stephen Adly Guirgis,9780571211012," Farrar, Straus and Giroux",2005
Goth Chic: A Connoisseur's Guide to Dark Culture,Gavin Baddeley,9780859653824, Plexus Publishing,2006
Människohamn,John Ajvide Lindqvist,9780312680275, Thomas Dunne Books,2011
Hamilton: The Revolution,Lin-Manuel Miranda,9781455539741, Grand Central Publishing,2016
Room on the Broom,Julia Donaldson,9780142501122, Puffin Books,2003
The Girl with no Name,Marina Chapman,9783499614590, rororo,2013
The Round House,Louise Erdrich,9780062065254, Harper Perennial,2013
Can't and Won't: Stories,Lydia Davis,9780374118587," Farrar, Straus and Giroux",2014
Troublemaker: Surviving Hollywood and Scientology,Leah Remini,9781101886960, Ballantine Books,2015
Mistress Bradstreet: The Untold Life of America's First Poet,Charlotte Gordon,9780316169042," Little, Brown and Company",2005
Theft: A Love Story,Peter Carey,9780307263711, Alfred A. Knopf,2006
The Lottery,Beth Goobie,9780571228638, Faber Childrens,2006
The Wise Heart: A Guide to the Universal Teachings of Buddhist Psychology,Jack Kornfield,9780553803471, Bantam,2008
Salvage the Bones,Jesmyn Ward,9781608196265, Bloomsbury USA,2012
The Revised Fundamentals of Caregiving,Jonathan Evison,9781616200398, Algonquin Books of Chapel Hill,2012
Ireland,Frank Delaney,9780060563493, Avon,2006
The Red Brush: Writing Women of Imperial China (Harvard East Asian Monographs),Wilt L. Idema,9780674013933, Harvard University Press,2004
A House in the Sky,Amanda Lindhout,9781451651690, Scribner,2013
Skin Hunger,Kathleen Duey,9780689840937, Atheneum Books,2007
Puhdistus,Sofi Oksanen,9781848872110, Atlantic Books,2010
The Lost Amazon: The Photographic Journey of Richard Evans Schultes,Wade Davis,9780811845717, Chronicle Books,2004
Programming the Universe: A Quantum Computer Scientist Takes On the Cosmos,Seth Lloyd,9781400040926, Knopf,2006
The Husband's Secret,Liane Moriarty,9780399159343, Berkley,2013
Throne of Glass,Sarah J. Maas,9781619630345, Bloomsbury USA Childrens,2013
Mother of Pearl,Maureen Lee,9780752893815, Orion,2009
"Saga, Volume Four",Brian K. Vaughan,9781632150776, Image Comics,2014
The Doomsday Key,James Rollins,9780061231407, William Morrow,2009
The Girl with All the Gifts,M.R. Carey,9780356502731, Orbit,2014
The Salt Roads,Nalo Hopkinson,9780446677134, Grand Central Publishing,2004
Wool Omnibus,Hugh Howey,9788845198656, Fabbri Editori,2013
The Last Train to Zona Verde: My Ultimate African Safari,Paul Theroux,9780618839339, Houghton Mifflin Harcourt,2013
The Museum of Extraordinary Things,Alice Hoffman,9781451693560, Scribner,2014
Pegasus and the Fight for Olympus,Kate O'Hearn,9780340997413, Hodder Children's Books,2011
Brick Lane,Monica Ali,9780743243315, Scribner,2004
"The Mistmantle Chronicles, Book 4: Urchin and the Raven War",Margaret McAllister,9781423101833, Disney-Hyperion,2008
Heute wär ich mir lieber nicht begegnet,Herta Müller,9780805060126, Metropolitan Books,2001
All Over Creation,Ruth Ozeki,9780142003893, Penguin Books,2004
"The Mapmaker's Wife: A True Tale of Love, Murder, and Survival in the Amazon",Robert Whitaker,9780385605205, Delta,"January, 2005"
"The Woman Behind the New Deal: The Life of Frances Perkins, FDR'S Secretary of Labor and His Moral Conscience",Kirstin Downey,9780385513654, Nan A. Talese,2009
Drinking Coffee Elsewhere,Z.Z. Packer,9781573223782, Riverhead Books,2004
"The Breaking Point: Hemingway, Dos Passos, And the Murder of José Robles",Stephen Koch,9781582432816, Counterpoint,2006
The Goblin Emperor,Katherine Addison,9780765326997, Tor Books,2014
The Man Who Broke Into Auschwitz,Denis Avey,9780306819650, Da Capo Press,2011
Heartless,Gail Carriger,9781841499864," Little, Brown Book",2011
Empire in Black and Gold,Adrian Tchaikovsky,9780230704138, Tor UK,2008
Lucky Star,Cathy Cassidy,9780141383262, Puffin,2007
Bumped,Megan McCafferty,9780061962745, Balzer + Bray,2011
Sexual Healing,Jill Nelson,9780972456203, Agate Bolden,2003
A Natural History of Dragons,Marie Brennan,9780765331960, Tor Books,2013
Heart no Kuni no Alice,QuinRose,9781427817693, TokyoPop,2010
Protector of the Small,Tamora Pierce,9780739446980, SFBC,"November, 2004"
The Bride Collector,Ted Dekker,9780340964989, Hodder & Stoughton,2010
Chosen,Ted Dekker,9781595543592, Thomas Nelson,2007
What She Wants,Lynsay Sands,9780843950458, Leisure Books,2002
De monstertrilogie,Tom Lanoye,9789044610413, Prometheus,"October, 2007"
Les Carnets de Douglas,Christine Eddie,9780864926197, Goose Lane Editions,2013
Splendor,Anna Godbersen,9780061626319, Harper,2009
L'Africain,Jean-Marie G. Le Clézio,9789871156580, Adriana Hidalgo Editora S.A.,2007
Revenge of the Rose: A Novel,Nicole Galland,9780060841775, William Morrow,2006
Consent to Kill,Vince Flynn,9781416505013, Pocket Star,2006
The Legacy,Gemma Malley,9781599905679, Bloomsbury USA Childrens,2011
Runelight,Joanne Harris,9780552778978, Black Swan,2012
Jennifer Government,Max Barry,9780349117621, Abacus,2004
Maine,J. Courtney Sullivan,9780307595126, Knopf,2011
Red Mandarin Dress,Qiu Xiaolong,9780312371074, Minotaur Books,2007
Cocktail under the Tree of Forgetfullness,Alexandra Fuller,9781594202995, Penguin Press,2011
Things Not Seen,Andrew Clements,9780142400760, Speak,2004
"Days of War, Nights of Love : Crimethink For Beginners",CrimethInc.,9780970910103, Crimethinc,2002
Patrick: Son of Ireland,Stephen R. Lawhead,9780060012823, HarperTorch,2004
Пелагия и черный монах (Провинциальный детектив),Boris Akunin,9780297850861, Weidenfeld & Nicolson,2007
I remember nothing and other reflections,Nora Ephron,9780307595607, Knopf,2010
Millie's Fling,Jill Mansell,9780747264866, Headline Review,2001
Dreaming the Hound,Manda Scott,9780385336727, Spectra,2006
The Wild Places,Robert Macfarlane,9780143113935, Penguin (Non-Classics),2008
Return to the Whorl,Gene Wolfe,9780312873141, Tor Books,2001
Marbles,Ellen Forney,9781592407323, Avery,2012
Franklin and Winston: An Intimate Portrait of an Epic Friendship,Jon Meacham,9780812972825, Random House Trade Paperbacks,2004
Death of a Nationalist,Rebecca Pawel,9781569473443, Soho Crime,2004
Scribbling the Cat,Alexandra Fuller,9780330433273, Picador,2004
"Vegan, Virgin, Valentine",Carolyn Mackler,9780763626136, Candlewick Press,2006
Damned,Chuck Palahniuk,9780385671101, Doubleday Canada,2011
Broadchurch,Erin Kelly,9780751555585, Sphere,2014
"Language for a New Century: Contemporary Poetry from the Middle East, Asia, and Beyond",Tina Chang,9780393332384, W. W. Norton & Company,2008
"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,9788129118806, Rupa Publications,2011
Nothing Lasts Forever / Tell Me Your Dreams,Sidney Sheldon,9780007683086, HarperCollins,2003
Pandora's Star,Peter F. Hamilton,9780345461629, Del Rey,2005
Wantin,Truth Devour,9780992299903, Publicious Pty Ltd,2013
Roof of the Rockies: A History of Colorado Mountaineering,William M. Bueler,9780967146614, Colorado Mountain Club Press,2003
Radiohead and Philosophy,Brandon W. Forbes,9780812696646, Open Court,2009
Breaking Point,Lindsay McKenna,9780373778676, Harlequin HQN,2014
"American Dream: Three Women, Ten Kids, and a Nation's Drive to End Welfare",Jason DeParle,9780143034377, Penguin Books,2005
Anybody Out There?,Marian Keyes,9780061240850, William Morrow Paperbacks,2007
Provenance,Alex Archer,9780373621293, Gold Eagle,2008
Darke,Angie Sage,9780061242427, Katherine Tegen Books,2011
A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,Robert M. Sapolsky,9780099285779, Vintage,2002
What Doesn't Kill You,Iris Johansen,9781441886279, Brilliance Audio,2012
Staying Strong - 365 days a year,Demi Lovato,9781472218070, Headline,2013
Spinnenverdriet,Simone Lenaerts,9789044514988, De Geus,2009
The Reluctant Reformer,Lynsay Sands,9780843949742, Leisure,2002
El olvido que seremos,Héctor Abad Faciolince,9780374533939," Farrar, Straus and Giroux",2013
Messenger,Lois Lowry,9780385732536, Ember,2006
L'infinito viaggiare,Claudio Magris,9788804561910, Mondadori,2006
Why We Broke Up,Daniel Handler,9780316127257," Little, Brown Books for Young Readers",2011
Killing Pablo: The Hunt for the World's Greatest Outlaw,Mark Bowden,9780142000953, Penguin Books,2002
The Redemption of Callie & Kayden,Jessica Sorensen,9780751552614, Sphere,2013
The Cardturner,Louis Sachar,9780385736626, Delacorte Books for Young Readers,2010
Envy,Anna Godbersen,9780061345722, HarperCollins,2009
Duchessina: A Novel of Catherine de' Medici,Carolyn Meyer,9780152055882, HMH Books for Young Readers,2007
Rummet,Jonas Karlsson,9780804139984, Hogarth,2015
Storia del nuovo cognome,Elena Ferrante,9781609451349, Europa Editions,2013
Library of Souls,Ransom Riggs,9781594747588, Quirk Books,2015
Lost In Translation: Misadventures In English Abroad,Charlie Croker,9781843172086, Michael O'Mara Books Limited,2006
United as One,Pittacus Lore,9780062387653, HarperCollins,2016
Passion,Jude Morgan,9780312343699, St. Martin's Griffin,2006
The Stone Virgins,Yvonne Vera,9780374528942," Farrar, Straus and Giroux",2004
The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,9780385733571, Delacorte Press,2007
Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,9780385347372, Crown,2014
"Flower Confidential: The Good, the Bad, and the Beautiful in the Business of Flowers",Amy  Stewart,9781565124387, Algonquin Books,2007
Mr Maybe,Jane Green,9780767905206, Broadway Books,2002
"Saga, Volume Five",Brian K. Vaughan,9781632154385, Image Comics,2015
The Causal Angel,Hannu Rajaniemi,9780575088979, Gollancz,2014
Wonder,R.J. Palacio,9780552778626, Black Swan,2013
Down the Great Unknown: John Wesley Powell's 1869 Journey of Discovery and Tragedy Through the Grand Canyon,Edward Dolnick,9780060955861, Harper Perennial,2002
Crown of Midnight,Sarah J. Maas,9781619630642, Bloomsbury USA Childrens,2014
Above the East China Sea,Sarah Bird,9780385350112, Knopf,2014
Skim,Mariko Tamaki,9780888997531, Groundwood Books,2008
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,9780307408860, Crown,2015
Black Site,Dalton Fury,9780312668372, St. Martin's Press,2012
Pegasus and the New Olympians,Kate O'Hearn,9781444907513, Hodder Children's Books,2012
Hornet Flight,Ken Follett,9780451210746, Signet,2003
The Broken Window,Jeffery Deaver,9781416549970, Simon & Schuster,2008
Eux sur la photo,Hélène Gestern,9781908313546, Gallic Books,2014
Valley of the Shadow,Tom Pawlik,9781414326795, Tyndale House Publishers,2009
Harmur englanna,Jón Kalman Stefánsson,9781623654702, MacLehose Press,2015
Glasshouse,Charles Stross,9780441014033, Ace Hardcover,2006
The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,Deepak Chopra,9781878424112," Amber-Allen Publ., New World Library",1994
Waistcoats & Weaponry,Gail Carriger,9780316190275," Little, Brown Books for Young Readers",2014
A Thousand Days in Tuscany: A Bittersweet Adventure,Marlena de Blasi,9780345481092, Ballantine Books,2005
Secret of the Slaves,Alex Archer,9780373621262, Gold Eagle,2007
Encyclopedia of an Ordinary Life,Amy Krouse Rosenthal,9781400080465, Broadway Books,2005
"Moi Nojoud, 10 ans, divorcée",Nujood Ali,9780307589675, Crown Publishing Group / Three Rivers Press,2010
Bitterblue,Kristin Cashore,9780803734739, Dial,2012
Le bleu est une couleur chaude,Julie Maroh,9781551525143, Arsenal Pulp Press,2013
Syngué sabour : Pierre de patience,Atiq Rahimi,9781590513446, Other Press,2010
The First Days,Rhiannon Frater,9781438250809, CreateSpace,2008
The Unwinding: An Inner History of the New America,George Packer,9781466836952," Farrar, Straus and Giroux",2013
Up a Tree in the Park at Night with a Hedgehog,P. Robert Smith,9780099522997, Vintage Books,2009
The Amateurs,John Niven,9780434017980, Heinemann,2009
America by Heart,Sarah Palin,9780062010964, Harper,2010
The Kingdom Keepers,Ridley Pearson,9780786854448, Disney Press,2005
Brightly Woven,Alexandra Bracken,9781606840382, Egmont USA,2010
Starlighter,Bryan Davis,9780310718369, Zondervan,2010
Tricksters (Daughter of the Lioness Omnibus),Tamora Pierce,9780739451458, SFBC,"March, 2005"
The Vanishing Act of Esme Lennox,Maggie O'Farrell,9780755308446, Tinder Press,2013
De onvervangbare,Simone Lenaerts,9789044524093, De Geus,"September, 2012"
Skinwalker,Faith Hunter,9780451462800, Roc,2009
"Hero, Come Back",Stephanie Laurens,9780060564506, Avon,2005
El viaje del elefante,José Saramago,9780547352589, Houghton Mifflin Harcourt,2010
iCon Steve Jobs: The Greatest Second Act in the History of Business,Jeffrey S. Young,9780471787846, Wiley,2006
Eubank: The Autobiography,Chris Eubank,9780007122318, HarperCollins UK,2003
At the Same Time: Essays and Speeches,Susan Sontag,9780374100728," Farrar, Straus and Giroux",2007
Den of Wolves,Luke Devenish,9781863256216, Bantam,2008
The Broker,John Grisham,9780385340540, Delta,2006
A Hero for WondLa,Tony DiTerlizzi,9780857073013, Simon & Schuster Childrens Books,2012
Jeg forbanner tidens elv,Per Petterson,9781555975562, Graywolf Press,2010
"Anathema (Cloud Prophet Trilogy, #1)",Megg Jensen,1230000002505, Createspace,2011
Global Catastrophes and Trends: The Next Fifty Years,Vaclav Smil,9780262195867, MIT Press,2008
Of the Andromeda Martian Catastrophe,Vegas Luna,9780692448649, Polestar Moon Press,2015
Soldados de Salamina,Javier Cercas,9781582344720, Bloomsbury USA,2005
The Young World,Chris Weitz,9780316226295," Little, Brown Books for Young Readers",2014
Haweswater,Sarah Hall,9780060817251, Harper Perennial,2006
Infinite Sky,C.J. Flood,9780857078025, Simon & Schuster UK,2013
The Observations,Jane  Harris,9780670037735, Viking Adult,2006
The Rosie Effect,Graeme Simsion,9781922182104, Text Publishing Company,2014
The Assassin's Curse,Cassandra Rose Clarke,9781908844019, Strange Chemistry,2012
Powers Vol. 4: Supergroup,Brian Michael Bendis,9781582406718, Image Comics,2006
De ce iubim femeile,Mircea Cărtărescu,9789735008697, Humanitas,2007
La Medusa,Vanessa Place,9781573661454, Fiction Collective 2,2008
Froi of the Exiles,Melina Marchetta,9780670076086, Viking Australia,2011
"Slave, Finding Anna",Sherri Hayes,9781612130484, The Writer's Coffee Shop Publishing House,2011
Homesick Creek,Diane Hammond,9780345460998, Ballantine Books,2006
Silver Shadows,Richelle Mead,9781595143211, Razorbill,2014
Portrait of a Spy,Daniel Silva,9780062072184, Harper,2011
What the Victorians Did for Us,Adam Hart-Davis,9780755311378, Headline Book Publishing,2002
Shadow Woman,Linda Howard,9780345506931, Ballantine Books,2013
El mapa del tiempo,Félix J. Palma,9781439167397, Atria Books,"June, 2011"
The Man Who Went into the West: The Life of R. S. Thomas,Byron Rogers,9781845131463, Aurum Press,2007
The Way the Crow Flies,Ann-Marie MacDonald,9780060586379, Harper Perennial,2004
These Broken Stars,Amie Kaufman,9781423171027, Disney Hyperion,2013
Fireproof,Eric Wilson,9781595547163, Thomas Nelson,2008
Dark Eden,Chris Beckett,9780804138680, Broadway Books,2014
Fourth of July Creek,Smith Henderson,9780062286444, Ecco,2014
Judas Unchained,Peter F. Hamilton,9780345461667, Del Rey,2006
Natchez Burning,Greg Iles,9780062311078, William Morrow,2014
The Master Switch: The Rise and Fall of Information Empires,Tim Wu,9780307269935, Knopf,2010
Dit zijn de namen,Tommy Wieringa,9789023472698, De Bezige Bij,2012
The Last Oracle,James Rollins,9780061230943, William Morrow,2008
The Savvy Musician,David Cutler,9780982307502, Helius Press,2009
The Pustoy,Philippe Blenkiron,9781499238662, Dagda Publishing,2014
Grog Wars,Anne Sweazy-Kulju,9781633065307, Tate Publishing,2014
Submarine,Joe Dunthorne,9781400066834, Random House,2008
Whispering to Witches,Anna Dale,9780747569107, Bloomsbury,2005
Bow Grip,Ivan E. Coyote,9781551522135, Arsenal Pulp Press,2007
Love and Summer,William Trevor,9780670021239, Viking Adult,2009
Gitte,Kristien Hemmerechts,9789044517279, De Geus,2011
Little Owl's Book of Thinking: An Introduction to Thinking Skills,Ian Gilbert,9781904424352, Crown House Publishing,2004
Ship Breaker,Paolo Bacigalupi,9780316056212," Little, Brown Books for Young Readers",2010
One Plus One,Jojo Moyes,9781405909051, Penguin,2014
The Jester,James Patterson,9780755300204, Headline,2004
Light,Michael  Grant,9780061449185, Katherine Tegen Books,2013
"Act Like a Lady, Think Like a Man",Steve Harvey,9780061728976, Amistad,2009
Dragon Haven,Robin Hobb,9780007335817, Voyager,2010
I'll Be There,Holly Goldberg Sloan,9780316122795," Little, Brown Books for Young Readers",2011
Gender Failure,Rae Spoon,9781551525365, Arsenal Pulp Press,2014
Obsidian,Laurann Dohner,9781419940330, Ellora's Cave,2012
"Vampire Rites Trilogy (Cirque Du Freak, Books 4-6)",Darren Shan,9780007143757, HarperCollins,2004
Sunshine,Robin McKinley,9780515138818, Jove,2004
The Nazi Connection to Islamic Terrorism: Adolf Hitler and Haj Amin al-Husseini,Chuck Morse,9780595289448, iUniverse.com,2003
My Word is My Bond: A Memoir,Roger Moore,9780061673887, It Books,2008
Forbidden City,Alex Archer,9780373621231, Gold Eagle,2007
American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,9780375726262, Vintage Books,2007
TransAtlantic,Colum McCann,9781400069590, Random House,2013
Zlatý věk,Michal Ajvaz,9781564785787, Dalkey Archive Press,2010
Once We Were Brothers,Ronald H. Balson,9780615351919, Berwick Court Publishing Co.,2010
The Baker's Apprentice: A Novel,Judi Hendricks,9780060726171, William Morrow,2005
The Last Hundred Days,Patrick McGuinness,9781854115416, Seren Books,2011
Remembrance,Theresa Breslin,9780552547383, Corgi,2003
De thuiskomst,Anna Enquist,9789029562584, De Arbeiderspers,2005
Dangerous Joy,Jo Beverley,9781614174875, Epublishing Works!,2013
The Mystery at Walt Disney World,Carole Marsh,9780635021045, Carole Marsh Mysteries,2003
Fighting Identity: Sacred War and World Change (The Changing Face of War),Michael Vlahos,9780313348457, Praeger Publishers,2008
Tiger,Laurann Dohner,9781419939136, Ellora's Cave,2012
Instructions for a Heatwave,Maggie O'Farrell,9780385349406, Knopf,2013
The Analyst,John Katzenbach,9788498721805, Zeta,"February, 2009"
"Vampire War Trilogy (Cirque Du Freak, Books 7-9)",Darren Shan,9780007179589, HarperCollins - AU,2005
Twisted,Laurie Halse Anderson,9780670061013, Viking Books for Young Readers,2007
Great House,Nicole Krauss,9780393079982, W. W. Norton & Company,2010
The Orientalist: Solving the Mystery of a Strange and Dangerous Life,Tom Reiss,9780812972764, Random House Trade Paperbacks,2006
El Zorro,Isabel Allende,9780060787219, HarperLargePrint,2005
El universo en un solo átomo,Dalai Lama XIV,9780767920810, Harmony,2006
"Daring Greatly : How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,9781592407330, Avery,2012
Everything I Never Told You,Celeste Ng,9781594205712, Penguin Press,2014
ساق البامبو [Saq al-Bambu],سعود السنعوسي,9786140105232, الدار العربية للعلوم ناشرون,2014
Rites of Spring (Break),Diana Peterfreund,9780385341936, Delta,2008
Gomorra: Viaggio nell'impero economico e nel sogno di dominio della camorra,Roberto Saviano,9780374165277," Farrar, Straus and Giroux",2007
Insensatez,Horacio Castellanos Moya,9780811217071, New Directions,2008
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,9780062085535, HarperCollins,2013
The Gospel of Loki,Joanne M. Harris,9781473202351, Gollancz,2014
How Yoga Works: Healing Yourself and Others With The Yoga Sutra,Michael Roach,9780976546900, Diamond Cutter Press,2005
Killing Time,Linda Howard,9780345453464, Ballantine Books,2006
Just Breathe,Kari Lynn,9780692503249, Amazon,2015
On the Edge,Richard Hammond,9780297853275, Orion Publishing,2008
The Palace of Illusions,Chitra Banerjee Divakaruni,9780385515993, Doubleday,2008
The Reapers Are the Angels,Alden Bell,9780805092431, Holt Paperbacks,2010
Spilling the Beans,Clarissa Dickson Wright,9780340933893, Hodder & Stoughton,2009
Vixen,Jillian Larkin,9780385740340, Delacorte Books for Young Readers,2010
Under the Rose: An Ivy League Novel,Diana Peterfreund,9780385340038, Delta,2007
Lost Boy Lost Girl,Peter Straub,9781400060924, Random House (NY),2003
"Stage Fright on a Summer Night (Magic Tree House, #25)",Mary Pope Osborne,9780375806117, Random House Books for Young Readers,2002
Washington's Crossing,David Hackett Fischer,0000195170342," Oxford University Press, USA",2004
The Woman Who Swallowed a Toothbrush: And Other Weird Medical Case Histories,Rob Myers,9781550225693, ECW Press,2003
"The Real Lives of Strong Black Women: Transcending Myths, Reclaiming Joy",Toby Thompkins,9781932841008, Agate Bolden,2004
Dilbert and the Way of the Weasel,Scott Adams,9780060518059, HarperBusiness,2002
Eurydice,Sarah Ruhl,9780573662447, Samuel French,2008
Baby Jane,Sofi Oksanen,9789510309667, WSOY,2009
A Complicated Kindness,Miriam Toews,9781582433226, Counterpoint Press,2005
The Darkest Night,Gena Showalter,9780373772469, Harlequin,2008
"Enforcer (Cascadia Wolves, #1)",Lauren Dane,9781419906107, Ellora's Cave,2006
Thug Lovin',Wahida Clark,9780446552097, Grand Central Publishing,2009
