Original_Title,Author,ISBN13,Publisher,Published_Date
Blood Line,John J.  Davis,9780990314417, Simon & Winter Inc.,2014
Beyond Cloud Nine,Greg Spry,9780990822400, Greg Spry,2014
The Blade Artist,Irvine Welsh,9780224102155, Jonathan Cape,2016
The Sword of Summer,Rick Riordan,9781423160915, Disney - Hyperion Books,2015
The Novice,Trudi Canavan,9781841493145, Orbit,2004
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,9780446580267, Twelve,2008
Mom! What's That?,Atlas Jordan,9781620861431, Mascot Books,2012
Spring Water,John     Fitzgerald,9781932339802, Wordtech Communications,2005
We the Animals,Justin Torres,9780547576725, Houghton Mifflin Harcourt,2011
The End,Lemony Snicket,9780064410168, HarperCollins Publishers,2006
The Rotters' Club,Jonathan Coe,9780375713125, Vintage,2003
Call Me by Your Name,André Aciman,9780374299217," Farrar, Straus and Giroux",2007
Baghdad Burning: Girl Blog from Iraq,Riverbend,9781558614895, The Feminist Press at CUNY,2005
Mockingbird,Kathryn Erskine,9780399252648, Philomel Books,2010
Elizabeth Costello: Eight Lessons,J.M. Coetzee,9780142004814, Vintage,2004
Shadow Country,Peter Matthiessen,9780679640196, Modern Library,2008
Finn,Jon Clinch,9780812977141, Random House Trade Paperbacks,2008
Something Witchy This Way Comes,Veronica Blade,9780979886942, Crush Publishing,2011
Tithe: A Modern Faerie Tale,Holly Black,9780689867040, Simon Pulse,"April, 2004"
Bury Your Dead,Louise Penny,9780312377045, Minotaur Books,2010
Our Lady of Alice Bhatti,Mohammed Hanif,9780224082051, Jonathan Cape,2011
Paris in Oakland,Eliza Q Hemenway,9781519578518, Createspace Independent Publishing Platform,2016
The Blood of Flowers,Anita Amirrezvani,9780316065764," Little, Brown and Company",2007
Dead Air,Iain Banks,9780349116648, Abacus,2003
Twilight of the Elites,Christopher L. Hayes,9780307720450, Crown,2012
Nine Brutal Years,Leesia Champion,9781500308414, Createspace,2014
"All My Love, Detrick",Roberta Kagan,9781470143244, self,2012
Be Careful What You Wish For,Jeffrey Archer,9781250034489, St. Martin's Press / MacMillan,2014
Call Of The Lost Ages: A Study Of The Indus Valley Script,Subhajit Ganguly,9781477504543, Vasto,2013
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,9780743264464, Scribner,2006
Four: A Divergent Collection,Veronica Roth,9780062285683, HarperCollins Publishers,2014
The King of Attolia,Megan Whalen Turner,9780060835774, Greenwillow Books,2006
Prince of Thieves,Chuck Hogan,9780743264556, Scribner Book Company,2004
Genghis Khan and the Making of the Modern World,Jack Weatherford,9780609809648, Broadway Books,2005
A Touch of Dead,Charlaine Harris,9780441017836, Ace,2009
Pretty Little Liars,Sara Shepard,9780060887308, HarperCollins Publishers,2006
School's Out Forever,James Patterson,9780316155595," Little, Brown and Company",2006
Willow,Julia Hoban,9780803733565, Dial Books,2009
Malcolm X: A Life of Reinvention,Manning Marable,9780670022205, Viking Adult,2011
Firestar's Quest,Erin Hunter,9780061131646, HarperCollins,2007
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)",Anne Bishop,9780451529015, Roc,2003
Theft of Swords,Michael J. Sullivan,9780316187749, Orbit,2011
No Humans Involved,Kelley Armstrong,9780553588378, Bantam Spectra,2008
The Good Lord Bird,James McBride,9781594486340, Riverhead Books,2013
The Wild Trees: A Story of Passion and Daring,Richard   Preston,9781400064892, Random House (NY),2007
"The Good, the Bad, and the Undead",Kim Harrison,9780060572976, HarperTorch,2005
Hate List,Jennifer Brown,9780316041447," Little, Brown Books for Young Readers",2009
Possible Side Effects,Augusten Burroughs,9780312426811, Picador,2007
Saving the World and Other Extreme Sports,James Patterson,9780316155601," Little, Brown and Company",2007
Shadowfever,Karen Marie Moning,9780385341677, Delacorte Press,2011
The Gift,Alison Croggon,9780763631628, Candlewick Press,2006
Long Lost,Harlan Coben,9780525951056, Dutton Adult,2009
Horns,Joe Hill,9780061147951, William Morrow,2010
"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",Laurell K. Hamilton,9780515133875, Jove,2002
The Iron Queen,Julie Kagawa,9780373210183, Harlequin Teen,2011
Bartleby y compañía,Enrique Vila-Matas,9780811216982, New Directions,2007
A Question of Blood,Ian Rankin,9780752877136, McArthur,2005
The Moral Landscape: How Science Can Determine Human Values,Sam Harris,9781439171226, Free Press,2011
Underworld,Meg Cabot,9780545415071, Point,2012
Words of Radiance,Brandon Sanderson,9780765326362, Tor Books,2014
Annihilation,Jeff VanderMeer,9780374104092, FSG Originals,2014
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,9780446563086, Grand Central Publishing,2010
Burning Dawn,Gena Showalter,9780373778447, HQN Books,2014
Death Masks,Jim Butcher,9780451459404, Roc,2003
The Longest Ride,Nicholas Sparks,9781455520657, Grand Central Publishing,2013
The Burning Bridge,John Flanagan,9780399244551, Philomel Books,2006
Grandma! Can I Get a Dog?,Barry Jordan Jr.,9781620861417, Mascot Books,2012
Dancer,Colum McCann,9780312423186, Picador,2004
"God, Save the Pirate",Ria Warrick,9781490985152, Createspace,2013
The Mind,John     Fitzgerald,9781907056604, salmon press,2011
Major Pettigrew's Last Stand,Helen Simonson,9781400068937, Random House,2010
The Postmortal,Drew Magary,9780143119821, Penguin Group USA,2011
How to Talk to a Widower,Jonathan Tropper,9780385338905, Delacorte Press,2007
Awaken,Meg Cabot,9780545284127, Point,2013
Abandon,Meg Cabot,9780545284103, Point,2011
The Forest of Hands and Teeth,Carrie Ryan,9780575090859, Gollancz,"July, 2009"
"American Conspiracies: Lies, Lies, and More Dirty Lies that the Government Tells Us",Jesse Ventura,9781602398023, Skyhorse Publishing,2010
Black House,Stephen King,9780345470638, Ballantine Books,2003
Frostbitten,Kelley Armstrong,9781841497761, Orbit,2009
엄마를 부탁해,Kyung-Sook Shin,9780307593917, Knopf,2011
"Lords of the Bow (Conqueror, #2)",Conn Iggulden,9780385339520, Delacorte Press,2008
American Wife,Curtis Sittenfeld,9781400064755, Random House,2008
The Twilight Saga,Stephenie Meyer,9780739352359, Listening Library (Audio),2008
The Wednesday Wars,Gary D. Schmidt,9780618724833, Clarion Books,2007
The Last Letter From Your Lover,Jojo Moyes,9780670022809, Pamela Dorman Books,2011
The Retribution of Mara Dyer,Michelle Hodkin,9781442484238, Simon & Schuster Books for Young Readers,2014
The Echo Maker,Richard Powers,9780374146351," Farrar, Straus and Giroux",2006
Joyland,Stephen King,9781781162644, Hard Case Crime,2013
The Brooklyn Follies,Paul Auster,9780312426231, Picador,2006
Erasure,Percival Everett,9780786888153, Hyperion,2002
"Micah (Anita Blake, Vampire Hunter, #13)",Laurell K. Hamilton,9780515140873, Jove,2006
Wishful Drinking,Carrie Fisher,9781439153710, Simon & Schuster,2009
Kushiel's Avatar,Jacqueline Carey,9781405034142, Tor,2004
Mistress of Rome,Kate Quinn,9780425232477, Berkley,2010
Summer Breeze (Coulters Historical #3),Catherine Anderson,9780451217103, Signet,2006
February,Lisa Moore,9780887842023, House of Anansi Press,2009
Defiance,C.J. Redwine,9780062117182, Balzer + Bray,2012
"The Battle of Evernight: The Bitterbynde Book III (The Bitterbynde, Book 3)",Cecilia Dart-Thornton,9780330489577, Tor Books,2004
Wish You Well,David Baldacci,9780446699488, Grand Central Publishing,2007
Grave Mercy,Robin LaFevers,9780547628349, Houghton Mifflin Harcourt,2012
Azincourt,Bernard Cornwell,9780007271214, HarperCollins Publishers,2008
The Bone Clocks,David Mitchell,9781400065677, Random House,2014
The Keep,Jennifer Egan,9781400043927, Knopf,2006
Early Dawn (Coulters Historical #4),Catherine Anderson,9780451228741, Signet,2009
"Sorgenfri  (Harry Hole, #4)",Jo Nesbø,9780061655500, Harper,2009
Say You're One of Them,Uwem Akpan,9780316113786," Little, Brown and Company",2009
"Glass (Crank, #2)",Ellen Hopkins,9781416940906, Margaret K. McElderry Books,2007
"In Too Deep (The 39 Clues, Book 6)",Jude Watson,9780545060462, Scholastic Inc.,2009
The Sandcastle Girls,Chris Bohjalian,9780385534796, Doubleday,2012
Sea Glass,Maria V. Snyder,9780778325802, Mira,2009
La misteriosa fiamma della regina Loana,Umberto Eco,9780156030434, Harcourt,2006
Black Magic Sanction,Kim Harrison,9780061138034, Eos,2010
The Slippery Slope,Lemony Snicket,9780064410137, HarperCollins Publishers,2003
Onyx,Jennifer L. Armentrout,9781620610114, Entangled Teen,2012
Puhdistus,Sofi Oksanen,9780802170774," Grove Press, Black Cat",2010
"The Lady of the Sorrows: The Bitterbynde Book II (The Bitterbynde, Book 2)",Cecilia Dart-Thornton,9780330489560, Tor,2003
Fablehaven,Brandon Mull,9781590385814, Shadow Mountain,2006
Bad Luck and Trouble,Lee Child,9780385340557, Bantam Dell Random House,2007
"The Harlequin (Anita Blake, Vampire Hunter, #15)",Laurell K. Hamilton,9780425217245, Berkley Books,2007
Origin,Jennifer L. Armentrout,9781622660759, Entangled Publishing,2013
A Fatal Grace,Louise Penny,9780312352561, Minotaur Books,2007
Perfect Chemistry,Simone Elkeles,9780802798237, Walker Childrens,2008
All the Bright Places,Jennifer Niven,9780385755887, Knopf,2015
Lost in a Good Book,Jasper Fforde,9781840328431, NEL,"July, 2002"
Both Ways Is the Only Way I Want It,Maile Meloy,9781594488696, Riverhead Books,2009
