ID,Title,Author,ISBN13,Publication,Published_Date,Ratings,Genres,Reviews,Average_Rating,Language
677,Haunted (Women of the Otherworld Series #5),Kelley Armstrong,9780553587081,Random House Publishing Group,2005,"21,115","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Romance, Romance, Paranormal Romance, Fantasy, Supernatural, Paranormal, Witches, Fiction, Paranormal, Ghosts, Fantasy, Magic",757,4.08,English
678,Life Expectancy,Dean Koontz,9780553588248, Bantam Books,2012,"25,617","Horror, Fiction, Thriller, Mystery, Suspense","1,510",3.98,English
679,Velocity,Dean Koontz,9780553588255, Bantam,2012,"49,362","Horror, Thriller, Fiction, Mystery, Suspense","1,457",3.85,English
680,No Humans Involved (Women of the Otherworld Series #7),Kelley Armstrong,9780553588378,Random House Publishing Group,2008,"24,598","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Romance, Romance, Paranormal Romance, Fantasy, Supernatural",683,4.2,English
681,Kiss of Midnight (Midnight Breed Series #1),Lara Adrian,9780553589375,Random House Publishing Group,2007,"50,763","Romance, Paranormal Romance, Fantasy, Paranormal, Paranormal, Vampires, Romance, Fantasy","2,446",3.94,English
682,Kiss of Midnight (Midnight Breed Series #1),Lara Adrian,9780553589375,Random House Publishing Group,2007,"33,218","Romance, Paranormal Romance, Paranormal, Vampires, Fantasy, Paranormal, Romance","1,123",4.17,English
683,Dime Store Magic (Women of the Otherworld Series #3),Kelley Armstrong,9780345536839,Random House Publishing Group,2012,"28,843","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Paranormal, Witches, Romance, Romance, Paranormal Romance","1,097",4.07,English
684,Industrial Magic (Women of the Otherworld Series #4),Kelley Armstrong,9780553587074,Random House Publishing Group,2004,"29,414","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Paranormal, Witches, Romance, Romance, Paranormal Romance",803,4.12,English
685,Through Violet Eyes,Stephen Woodworth,9780553803372, Dell,2004,"1,797","Mystery, Fiction, Fantasy, Fantasy, Paranormal",173,3.95,English
686,Hide (Detective D. D. Warren Series #2),Lisa Gardner,9780553588088,Random House Publishing Group,2008,"23,323","Mystery, Thriller, Suspense, Mystery, Crime, Fiction, Thriller, Mystery Thriller","1,464",4.14,English
687,The Lies of Locke Lamora,Scott Lynch,9780553804676, Bantam Spectra,2007,"124,838","Fantasy, Adventure, Fantasy, Epic Fantasy","8,851",4.3,English
688,Brother Odd (Odd Thomas Series #3),Dean Koontz,9780345533029,Random House Publishing Group,2012,"50,659","Horror, Fiction, Thriller, Fantasy, Mystery, Fantasy, Paranormal","2,090",3.97,English
689,The Grand Design,Stephen Hawking,9780553805376, Bantam,2012,"43,083","Science, Nonfiction, Science, Physics, Philosophy, Science, Popular Science","1,856",4.0,English
690,Garden Spells,Sarah Addison Allen,9780553805482, Bantam,2008,"68,994","Fiction, Fantasy, Magical Realism, Romance, Womens Fiction, Chick Lit, Fantasy, Magic","8,509",4.06,English
691,The Sugar Queen,Sarah Addison Allen,9780553805499, Bantam,2009,"40,643","Fiction, Magical Realism, Womens Fiction, Chick Lit, Romance, Fantasy, Contemporary, Fantasy, Magic, Adult, Adult Fiction, American, Southern","4,772",3.98,English
692,Personal Demon (Women of the Otherworld Series #8),Kelley Armstrong,9780553588200,Random House Publishing Group,2008,"17,717","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Romance, Romance, Paranormal Romance, Fantasy, Supernatural",597,4.06,English
693,Living with the Dead (Women of the Otherworld Series #9),Kelley Armstrong,9780553588545,Random House Publishing Group,2009,"15,381","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Romance, Paranormal Romance, Romance, Fantasy, Supernatural, Fiction, Shapeshifters, Werewolves, Paranormal, Demons, Adult",571,4.01,English
694,Havemercy,Jaida Jones,9780553806960, Spectra,2008,"2,337","Fantasy, Fantasy, Dragons, Science Fiction, Steampunk, Fiction, Glbt, Romance, M M Romance",217,3.65,English
695,Bitten (Women of the Otherworld Series #1),Kelley Armstrong,9780452296640,Penguin Publishing Group,2010,"13,859","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Romance, Paranormal Romance, Romance, Fiction, Fantasy, Supernatural, Anthologies, Adult",624,4.25,English
