40,9780060766245,"Night of the Soul Stealer (The Last Apprentice / Wardstone Chronicles, Book 3)",Joseph Delaney, Greenwillow Books,"[u'August', u'28th', u'2007\n']",9780060766269,Night of the Soul Stealer (Last Apprentice Series #3),Joseph Delaney,HarperCollins Publishers,2008
41,9780060788704,The Outlaw Demon Wails,Kim Harrison, Eos,"[u'February', u'26th', u'2008\n']",9780061149825,The Outlaw Demon Wails (Hollows Series #6),Kim Harrison,HarperCollins Publishers,2008
42,9780060791568,The Space Between Us,Thrity Umrigar, Harper Perennial,"[u'February', u'6th', u'2007\n']",9780062564641,The Space Between Us: A Novel,Thrity Umrigar,HarperCollins Publishers,2016
43,9780060817329,I Am Not Myself These Days,Josh Kilmer-Purcell, Harper Perennial,"[u'February', u'7th', u'2006\n']",9780060817329,I Am Not Myself These Days,Josh Kilmer-Purcell,HarperCollins Publishers,2006
44,9780060821098,MirrorMask,Neil Gaiman, HarperCollins Publishers,"[u'October', u'31st', u'2005\n']",9780060821104,MirrorMask,Neil Gaiman,HarperCollins Publishers,2005
45,9780060825317,The Madonnas of Leningrad,Debra Dean, Harper Perennial,"[u'February', u'20th', u'2007\n']",9780060825317,The Madonnas of Leningrad: A Novel,Debra Dean,HarperCollins Publishers,2007
46,9780060825393,Abundance: A Novel of Marie Antoinette,Sena Jeter Naslund, William Morrow,"[u'October', u'3rd', u'2006\n']",9780060825409,Abundance: A Novel of Marie Antoinette,Sena Jeter Naslund,HarperCollins Publishers,2007
47,9780060835774,The King of Attolia,Megan Whalen Turner, Greenwillow Books,"[u'January', u'24th', u'2006\n']",9780060841829,The Queen of Attolia (The Queen's Thief Series #2),Megan Whalen Turner,HarperCollins Publishers,2006
48,9780060835774,The King of Attolia,Megan Whalen Turner, Greenwillow Books,"[u'January', u'24th', u'2006\n']",9780062642981,The King of Attolia,Megan Whalen Turner,HarperCollins Publishers,2017
49,9780060838584,Fast Food Nation : The Dark Side of the All-American Meal,Eric Schlosser, Harper Perennial,"[u'July', u'5th', u'2005\n']",9780547750330,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Houghton Mifflin Harcourt,2012
50,9780060874223,Cloaked,Alex Flinn, HarperCollins,"[u'February', u'8th', u'2011\n']",9780060874247,Cloaked,Alex Flinn,HarperCollins Publishers,2012
51,9780060881900,"Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",Toni Weschler, William Morrow Paperbacks,"[u'October', u'31st', u'2006\n']",9780062326034,"Taking Charge of Your Fertility, 20th Anniversary Edition: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",Toni Weschler,HarperCollins Publishers,2015
52,9780060885595,Billy Lynn's Long Halftime Walk,Ben Fountain, Ecco,"[u'May', u'1st', u'2012\n']",9780060885618,Billy Lynn's Long Halftime Walk,Ben Fountain,HarperCollins Publishers,2012
53,9780060887186,The Last Kingdom,Bernard Cornwell, HarperCollins,"[u'January', u'3rd', u'2006\n']",9780060887186,The Last Kingdom (Last Kingdom Series #1) (Saxon Tales),Bernard Cornwell,HarperCollins Publishers,2006
54,9780060887339,Flawless,Sara Shepard, HarperTeen,"[u'March', u'26th', u'2007\n']",9780060887353,Flawless (Pretty Little Liars Series #2),Sara Shepard,HarperCollins Publishers,2008
55,9780060888626,The Lords of the North,Bernard Cornwell, Harper,"[u'January', u'23rd', u'2007\n']",9780061149047,Lords of the North (Last Kingdom Series #3) (Saxon Tales),Bernard Cornwell,HarperCollins Publishers,2008
56,9780060898915,The Scent of Shadows,Vicki Pettersson, Harper Voyager,"[u'February', u'27th', u'2007\n']",9780060898915,The Scent of Shadows (Signs of the Zodiac Series #1),Vicki Pettersson,HarperCollins Publishers,2007
57,9780060988654,Mirror Mirror,Gregory Maguire, Regan Books,"[u'October', u'1st', u'2004\n']",9780060988654,Mirror Mirror,Gregory Maguire,HarperCollins Publishers,2004
58,9780060989156,The Dirt: Confessions of the World's Most Notorious Rock Band,Tommy Lee, HarperCollins Publishers,"[u'July', u'9th', u'2002\n']",9780060989156,The Dirt: Confessions of the World's Most Notorious Rock Band,Tommy Lee,HarperCollins Publishers,2002
59,9780061020063,Deepsix,Jack McDevitt, Eos,"[u'January', u'2002\n']",9780061020063,"Deepsix (Priscilla ""Hutch"" Hutchins Series #2)",Jack McDevitt,HarperCollins Publishers,2002
60,9780061130359,Sacred Games,Vikram Chandra, HarperCollins,"[u'December', u'29th', u'2006\n']",9780061130366,Sacred Games,Vikram Chandra,HarperCollins Publishers,2007
61,9780061147937,Heart-Shaped Box,Joe Hill, William Morrow,"[u'February', u'13th', u'2007\n']",9780061944895,Heart-Shaped Box,Joe Hill,HarperCollins Publishers,2009
62,9780061147951,Horns,Joe Hill, William Morrow,"[u'March', u'1st', u'2010\n']",9780061147968,Horns,Joe Hill,HarperCollins Publishers,2011
63,9780061147975,20th Century Ghosts,Joe Hill, William Morrow,"[u'October', u'16th', u'2007\n']",9780061147982,20th Century Ghosts,Joe Hill,HarperCollins Publishers,2008
64,9780061173394,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler, HarperCollins Publishers,"[u'May', u'1st', u'2007\n']",9781416596363,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,Gallery Books,2009
65,9780061214684,"Ink Exchange (Wicked Lovely, #2)",Melissa Marr, HarperTeen,"[u'April', u'24th', u'2008\n']",9780061214707,Ink Exchange (Wicked Lovely Series #2),Melissa Marr,HarperCollins Publishers,2009
66,9780061236822,The Gravedigger's Daughter,Joyce Carol Oates, Ecco Press,"[u'May', u'29th', u'2007\n']",9780061236839,The Gravedigger's Daughter,Joyce Carol Oates,HarperCollins Publishers,2008
